startTime endTime activeAppName
 06:04:48PM on November 28, 2018 Terminal
11:18:21PM on November 28, 2018 11:18:54PM on November 28, 2018 Google Chrome
11:18:54PM on November 28, 2018 11:19:28PM on November 28, 2018 Terminal
11:19:28PM on November 28, 2018 11:19:39PM on November 28, 2018 Google Chrome
11:19:39PM on November 28, 2018 11:20:21PM on November 28, 2018 Terminal
11:20:21PM on November 28, 2018 11:20:26PM on November 28, 2018 Google Chrome
11:20:26PM on November 28, 2018 11:20:30PM on November 28, 2018 Terminal
11:20:30PM on November 28, 2018 11:20:41PM on November 28, 2018 Finder
11:20:41PM on November 28, 2018 11:21:46PM on November 28, 2018 Terminal
11:21:46PM on November 28, 2018 11:22:31PM on November 28, 2018 Google Chrome
11:22:31PM on November 28, 2018 11:22:37PM on November 28, 2018 Terminal
11:22:37PM on November 28, 2018 11:22:59PM on November 28, 2018 WeChat
11:22:59PM on November 28, 2018 11:23:31PM on November 28, 2018 Terminal
11:23:31PM on November 28, 2018 11:23:47PM on November 28, 2018 Google Chrome
11:23:47PM on November 28, 2018 11:23:51PM on November 28, 2018 WeChat
11:23:51PM on November 28, 2018 11:24:04PM on November 28, 2018 Google Chrome
11:24:04PM on November 28, 2018 11:24:26PM on November 28, 2018 Terminal
11:24:26PM on November 28, 2018 11:24:37PM on November 28, 2018 Google Chrome
11:24:37PM on November 28, 2018 11:25:30PM on November 28, 2018 Terminal
11:25:30PM on November 28, 2018 11:26:03PM on November 28, 2018 Google Chrome
11:26:03PM on November 28, 2018 11:26:26PM on November 28, 2018 Terminal
11:26:26PM on November 28, 2018 11:26:30PM on November 28, 2018 PyCharm
